Date,Close
7/1/2000 16:00,21.44
14/01/2000 16:00:00,20.5
21/01/2000 16:00:00,21
28/01/2000 16:00:00,18.94
4/2/2000 16:00,19.13
11/2/2000 16:00,17.5
18/02/2000 16:00:00,17.44
25/02/2000 16:00:00,17.75
3/3/2000 16:00,17
10/3/2000 16:00,16.81
17/03/2000 16:00:00,17.75
24/03/2000 16:00:00,17.5
31/03/2000 16:00:00,20.44
7/4/2000 16:00,21.06
14/04/2000 16:00:00,20.69
20/04/2000 16:00:00,22.69
28/04/2000 16:00:00,24.88
5/5/2000 16:00,26.19
12/5/2000 16:00,25.81
19/05/2000 16:00:00,24.31
26/05/2000 16:00:00,24.06
2/6/2000 16:00,25.94
9/6/2000 16:00,25.31
16/06/2000 16:00:00,24.31
23/06/2000 16:00:00,24.19
30/06/2000 16:00:00,24.81
7/7/2000 16:00,25.31
14/07/2000 16:00:00,26.38
21/07/2000 16:00:00,26.31
28/07/2000 16:00:00,27.75
4/8/2000 16:00,29
11/8/2000 16:00,29.63
18/08/2000 16:00:00,28
25/08/2000 16:00:00,28.69
1/9/2000 16:00,28.06
8/9/2000 16:00,29.94
15/09/2000 16:00:00,29.56
22/09/2000 16:00:00,30.38
29/09/2000 16:00:00,32.96
6/10/2000 16:00,31.78
13/10/2000 16:00:00,33.62
20/10/2000 16:00:00,34.01
27/10/2000 16:00:00,34.55
3/11/2000 16:00,32.3
10/11/2000 16:00,31.89
17/11/2000 16:00:00,33.59
24/11/2000 16:00:00,34.35
1/12/2000 16:00,31.4
8/12/2000 16:00,32.26
15/12/2000 16:00:00,31.24
22/12/2000 16:00:00,32.5
29/12/2000 16:00:00,33.95
5/1/2001 16:00,32.85
12/1/2001 16:00,33.55
19/01/2001 16:00:00,31.73
26/01/2001 16:00:00,34.88
2/2/2001 16:00,36.4
9/2/2001 16:00,36.13
16/02/2001 16:00:00,36.25
23/02/2001 16:00:00,36.95
2/3/2001 16:00,38.3
9/3/2001 16:00,38.56
16/03/2001 16:00:00,37
23/03/2001 16:00:00,34.9
30/03/2001 16:00:00,35.65
6/4/2001 16:00,36
12/4/2001 16:00,36.65
20/04/2001 16:00:00,34.97
27/04/2001 16:00:00,36
4/5/2001 16:00,36
11/5/2001 16:00,36.62
18/05/2001 16:00:00,38.35
25/05/2001 16:00:00,38
1/6/2001 16:00,38.56
8/6/2001 16:00,37.37
15/06/2001 16:00:00,37.17
22/06/2001 16:00:00,35.69
29/06/2001 16:00:00,37.05
6/7/2001 16:00,36.5
13/07/2001 16:00:00,36.73
20/07/2001 16:00:00,37.49
27/07/2001 16:00:00,39.2
3/8/2001 16:00,38.65
10/8/2001 16:00,38.99
17/08/2001 16:00:00,39.15
24/08/2001 16:00:00,39.84
31/08/2001 16:00:00,39.86
7/9/2001 16:00,38.49
10/9/2001 16:00,38.32
21/09/2001 16:00:00,42.2
28/09/2001 16:00:00,44.2
5/10/2001 16:00,47.73
12/10/2001 16:00,45.45
19/10/2001 16:00:00,47.66
26/10/2001 16:00:00,50.83
2/11/2001 16:00,48.38
9/11/2001 16:00,47.5
16/11/2001 16:00:00,44.75
23/11/2001 16:00:00,45.01
30/11/2001 16:00:00,46.31
7/12/2001 16:00,45.74
14/12/2001 16:00:00,46.05
21/12/2001 16:00:00,46
28/12/2001 16:00:00,46.79
4/1/2002 16:00,47.26
11/1/2002 16:00,46.74
18/01/2002 16:00:00,48.66
25/01/2002 16:00:00,50
1/2/2002 16:00,52.43
8/2/2002 16:00,54.38
15/02/2002 16:00:00,54.87
22/02/2002 16:00:00,54.22
1/3/2002 16:00,57.07
8/3/2002 16:00,56.74
15/03/2002 16:00:00,57.81
22/03/2002 16:00:00,56.25
28/03/2002 16:00:00,57.58
5/4/2002 16:00,59.09
12/4/2002 16:00,61.54
19/04/2002 16:00:00,59.85
26/04/2002 16:00:00,61.52
3/5/2002 16:00,62.85
10/5/2002 16:00,61.52
17/05/2002 16:00:00,61.7
24/05/2002 16:00:00,62.38
31/05/2002 16:00:00,62.04
7/6/2002 16:00,63.4
14/06/2002 16:00:00,65.27
21/06/2002 16:00:00,70.36
28/06/2002 16:00:00,69.5
5/7/2002 16:00,69.26
12/7/2002 16:00,62.64
19/07/2002 16:00:00,56.1
26/07/2002 16:00:00,60.12
2/8/2002 16:00,61.78
9/8/2002 16:00,65.6
16/08/2002 16:00:00,65.42
23/08/2002 16:00:00,59.71
30/08/2002 16:00:00,63.32
6/9/2002 16:00,64.67
13/09/2002 16:00:00,65.73
20/09/2002 16:00:00,65.23
27/09/2002 16:00:00,65.55
4/10/2002 16:00,61
11/10/2002 16:00,62.45
18/10/2002 16:00:00,59.38
25/10/2002 16:00:00,56.63
1/11/2002 16:00,56.38
8/11/2002 16:00,56.43
15/11/2002 16:00:00,50.35
22/11/2002 16:00:00,51.84
29/11/2002 16:00:00,52.2
6/12/2002 16:00,52.24
13/12/2002 16:00:00,49.7
20/12/2002 16:00:00,54.62
27/12/2002 16:00:00,57.7
3/1/2003 16:00,58.71
10/1/2003 16:00,56.99
17/01/2003 16:00:00,52.5
24/01/2003 16:00:00,50.9
31/01/2003 16:00:00,51.05
7/2/2003 16:00,50.1
14/02/2003 16:00:00,47.4
21/02/2003 16:00:00,45.57
28/02/2003 16:00:00,45.72
7/3/2003 16:00,43.56
14/03/2003 16:00:00,45.19
21/03/2003 16:00:00,45.41
28/03/2003 16:00:00,48.14
4/4/2003 16:00,46.6
11/4/2003 16:00,44.11
17/04/2003 16:00:00,45.36
25/04/2003 16:00:00,49.41
2/5/2003 16:00,50.22
9/5/2003 16:00,48.84
16/05/2003 16:00:00,49
23/05/2003 16:00:00,47.93
30/05/2003 16:00:00,46.42
6/6/2003 16:00,46.41
13/06/2003 16:00:00,47.9
20/06/2003 16:00:00,48.63
27/06/2003 16:00:00,47.52
3/7/2003 16:00,48.4
11/7/2003 16:00,49.38
18/07/2003 16:00:00,52.05
25/07/2003 16:00:00,53
1/8/2003 16:00,51.52
8/8/2003 16:00,50.59
15/08/2003 16:00:00,50.61
22/08/2003 16:00:00,49.88
29/08/2003 16:00:00,51.23
5/9/2003 16:00,52.01
12/9/2003 16:00,51.11
19/09/2003 16:00:00,48.7
26/09/2003 16:00:00,45.43
3/10/2003 16:00,45.7
10/10/2003 16:00,46.2
17/10/2003 16:00:00,45.9
24/10/2003 16:00:00,46.52
31/10/2003 16:00:00,46.36
7/11/2003 16:00,46.04
14/11/2003 16:00:00,45.2
21/11/2003 16:00:00,46.4
28/11/2003 16:00:00,45.94
5/12/2003 16:00,47.42
12/12/2003 16:00,48.9
19/12/2003 16:00:00,50.25
26/12/2003 16:00:00,50.7
2/1/2004 16:00,50.7
9/1/2004 16:00,51.55
16/01/2004 16:00:00,51.51
23/01/2004 16:00:00,50.78
30/01/2004 16:00:00,48.62
6/2/2004 16:00,49.39
13/02/2004 16:00:00,49.4
20/02/2004 16:00:00,48.5
27/02/2004 16:00:00,46.28
5/3/2004 16:00,45.05
12/3/2004 16:00,44.48
19/03/2004 16:00:00,44.1
26/03/2004 16:00:00,45.81
2/4/2004 16:00,46.69
8/4/2004 16:00,47.54
16/04/2004 16:00:00,47
23/04/2004 16:00:00,46.16
30/04/2004 16:00:00,47.51
7/5/2004 16:00,48.57
14/05/2004 16:00:00,47.27
21/05/2004 16:00:00,46.86
28/05/2004 16:00:00,49.54
4/6/2004 16:00,49.28
10/6/2004 16:00,50.95
18/06/2004 16:00:00,50.47
25/06/2004 16:00:00,51.97
2/7/2004 16:00,51.57
9/7/2004 16:00,53.99
16/07/2004 16:00:00,54.7
23/07/2004 16:00:00,53.25
30/07/2004 16:00:00,52.82
6/8/2004 16:00,52.76
13/08/2004 16:00:00,52.97
20/08/2004 16:00:00,54.12
27/08/2004 16:00:00,53.4
3/9/2004 16:00,54.71
10/9/2004 16:00,54.23
17/09/2004 16:00:00,54.67
24/09/2004 16:00:00,54.36
1/10/2004 16:00,56.32
8/10/2004 16:00,55.42
15/10/2004 16:00:00,53.85
22/10/2004 16:00:00,53.53
29/10/2004 16:00:00,55.09
5/11/2004 16:00,56.85
12/11/2004 16:00,58.56
19/11/2004 16:00:00,58.35
26/11/2004 16:00:00,59.54
3/12/2004 16:00,61.62
10/12/2004 16:00,59.45
17/12/2004 16:00:00,58.93
23/12/2004 16:00:00,58.94
31/12/2004 16:00:00,55.55
7/1/2005 16:00,54.77
14/01/2005 16:00:00,56
21/01/2005 16:00:00,54.75
28/01/2005 16:00:00,56.38
4/2/2005 16:00,57.65
11/2/2005 16:00,59.69
